School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,School Type
Florida State University (FSU),Southern,42100.0,73000.0,"$39,600.00","$52,800.00","$107,000.00","$156,000.00",Party
Florida State University (FSU),Southern,42100.0,73000.0,"$39,600.00","$52,800.00","$107,000.00","$156,000.00",State
University of Texas at El Paso (UTEP),Southern,43400.0,72100.0,"$37,700.00","$50,400.00","$99,500.00","$133,000.00",State
University of Central Florida (UCF),Southern,42600.0,71700.0,"$39,500.00","$51,500.00","$98,400.00","$125,000.00",State
University of South Carolina,Southern,40000.0,71700.0,"$36,300.00","$49,900.00","$98,400.00","$131,000.00",State
Florida Atlantic University (FAU),Southern,42600.0,71100.0,"$40,700.00","$53,000.00","$99,500.00","$137,000.00",State
University of South Florida (USF),Southern,41100.0,71100.0,"$39,600.00","$51,500.00","$98,100.00","$131,000.00",State
University of Texas at San Antonio (UTSA),Southern,42500.0,70700.0,"$39,100.00","$49,800.00","$92,700.00","$121,000.00",State
University of Alabama at Birmingham (UAB),Southern,39200.0,70100.0,"$43,000.00","$53,400.00","$91,400.00","$125,000.00",State
University of Memphis (U of M),Southern,41400.0,69700.0,"$36,100.00","$49,100.00","$93,500.00","$127,000.00",State
Appalachian State University,Southern,40400.0,69100.0,"$37,200.00","$50,400.00","$90,800.00","$115,000.00",State
Virginia Commonwealth University (VCU),Southern,42000.0,68400.0,"$37,400.00","$51,900.00","$100,000.00","$123,000.00",State
East Carolina University (ECU),Southern,40200.0,67500.0,"$38,400.00","$52,000.00","$98,700.00","$151,000.00",State
Western Carolina University,Southern,36900.0,66600.0,"$39,000.00","$49,500.00","$94,400.00","$133,000.00",State
University of North Carolina at Wilmington (UNCW),Southern,37500.0,64400.0,"$32,100.00","$46,600.00","$97,100.00","$129,000.00",State
Arkansas State University (ASU),Southern,38700.0,63300.0,"$33,600.00","$45,300.00","$83,900.00","$118,000.00",State
Tarleton State University (TSU),Southern,40800.0,62400.0,"$32,100.00","$47,400.00","$80,400.00","$126,000.00",State
Morehead State University,Southern,34800.0,60600.0,"$34,300.00","$46,500.00","$72,000.00","$91,300.00",State
Austin Peay State University,Southern,37700.0,59200.0,"$32,200.00","$40,500.00","$73,900.00","$96,200.00",State
Dartmouth College,Northeastern,58000.0,134000.0,"$63,100.00","$90,200.00","$234,000.00","$321,000.00",Ivy League
Princeton University,Northeastern,66500.0,131000.0,"$68,900.00","$100,000.00","$190,000.00","$261,000.00",Ivy League
Massachusetts Institute of Technology (MIT),Northeastern,72200.0,126000.0,"$76,800.00","$99,200.00","$168,000.00","$220,000.00",Engineering
Yale University,Northeastern,59100.0,126000.0,"$58,000.00","$80,600.00","$198,000.00","$326,000.00",Ivy League
Harvard University,Northeastern,63400.0,124000.0,"$54,800.00","$86,200.00","$179,000.00","$288,000.00",Ivy League
University of Pennsylvania,Northeastern,60900.0,120000.0,"$55,900.00","$79,200.00","$192,000.00","$282,000.00",Ivy League
"Polytechnic University of New York, Brooklyn",Northeastern,62400.0,114000.0,"$66,800.00","$94,300.00","$143,000.00","$190,000.00",Engineering
Worcester Polytechnic Institute (WPI),Northeastern,61000.0,114000.0,"$80,000.00","$91,200.00","$137,000.00","$180,000.00",Engineering
Carnegie Mellon University (CMU),Northeastern,61800.0,111000.0,"$63,300.00","$80,100.00","$150,000.00","$209,000.00",Engineering
Rensselaer Polytechnic Institute (RPI),Northeastern,61100.0,110000.0,"$71,600.00","$85,500.00","$140,000.00","$182,000.00",Engineering
Cornell University,Northeastern,60300.0,110000.0,"$56,800.00","$79,800.00","$160,000.00","$210,000.00",Ivy League
Bucknell University,Northeastern,54100.0,110000.0,"$62,800.00","$80,600.00","$156,000.00","$251,000.00",Liberal Arts
Brown University,Northeastern,56200.0,109000.0,"$55,400.00","$74,400.00","$159,000.00","$228,000.00",Ivy League
Colgate University,Northeastern,52800.0,108000.0,"$60,000.00","$76,700.00","$167,000.00","$265,000.00",Liberal Arts
Columbia University,Northeastern,59400.0,107000.0,"$50,300.00","$71,900.00","$161,000.00","$241,000.00",Ivy League
Lafayette College,Northeastern,53900.0,107000.0,"$70,600.00","$79,300.00","$144,000.00","$204,000.00",Liberal Arts
Stevens Institute of Technology,Northeastern,60600.0,105000.0,"$68,700.00","$81,900.00","$138,000.00","$185,000.00",Engineering
"Wesleyan University (Middletown, Connecticut)",Northeastern,46500.0,97900.0,"$42,000.00","$62,500.00","$126,000.00","$215,000.00",Liberal Arts
Wentworth Institute of Technology,Northeastern,53000.0,96700.0,"$55,200.00","$74,000.00","$117,000.00","$153,000.00",Engineering
Binghamton University,Northeastern,53600.0,95900.0,"$50,900.00","$71,200.00","$146,000.00","$201,000.00",State
Union College,Northeastern,47200.0,95800.0,"$48,700.00","$75,200.00","$135,000.00","$230,000.00",Liberal Arts
Stony Brook University,Northeastern,49500.0,93000.0,"$47,200.00","$67,100.00","$129,000.00","$181,000.00",State
State University of New York (SUNY) at Albany,Northeastern,44500.0,92200.0,"$47,000.00","$63,100.00","$135,000.00","$209,000.00",Party
State University of New York (SUNY) at Albany,Northeastern,44500.0,92200.0,"$47,000.00","$63,100.00","$135,000.00","$209,000.00",State
Rutgers University,Northeastern,50300.0,91800.0,"$48,100.00","$65,100.00","$128,000.00","$176,000.00",State
University of Connecticut (UConn),Northeastern,48000.0,88800.0,"$46,100.00","$66,400.00","$120,000.00","$162,000.00",State
University of Massachusetts (UMass) - Amherst,Northeastern,46600.0,88200.0,"$43,100.00","$61,300.00","$122,000.00","$168,000.00",State
University of Massachusetts (UMass) - Lowell,Northeastern,45400.0,86600.0,"$50,900.00","$65,000.00","$113,000.00","$158,000.00",State
Pennsylvania State University (PSU),Northeastern,49900.0,85700.0,"$46,300.00","$62,000.00","$117,000.00","$160,000.00",Party
Pennsylvania State University (PSU),Northeastern,49900.0,85700.0,"$46,300.00","$62,000.00","$117,000.00","$160,000.00",State
University of Rhode Island (URI),Northeastern,43900.0,85300.0,"$45,400.00","$60,100.00","$112,000.00","$157,000.00",State
Siena College,Northeastern,45500.0,85200.0,"$38,700.00","$58,400.00","$129,000.00","$189,000.00",Liberal Arts
Rochester Institute of Technology (RIT),Northeastern,48900.0,84600.0,"$45,000.00","$62,100.00","$112,000.00","$159,000.00",Engineering
State University of New York (SUNY) at Farmingdale,Northeastern,47300.0,84200.0,"$50,200.00","$59,800.00","$110,000.00","$162,000.00",State
Smith College,Northeastern,44000.0,83900.0,"$45,100.00","$59,800.00","$129,000.00","$184,000.00",Liberal Arts
University of Vermont (UVM),Northeastern,44800.0,82700.0,"$44,700.00","$58,000.00","$122,000.00","$194,000.00",State
State University of New York (SUNY) at Buffalo,Northeastern,46200.0,81700.0,"$45,900.00","$61,400.00","$110,000.00","$147,000.00",State
State University of New York (SUNY) at Geneseo,Northeastern,42300.0,81300.0,"$39,300.00","$47,600.00","$117,000.00","$173,000.00",State
